Wavelength (m),T = 273 K,T = 400 K,T = 600 K,T = 800 K,T = 1000 K,T = 1200 K,T = 1400 K,T = 1600 K,T = 1800 K,T = 2000 K,T = 2200 K,T = 2400 K,T = 2600 K,T = 2800 K,T = 3000 K
6.846846846846847e-07,3.780862755534964e-27,2.9215362751911353e-17,2.3040801722364797e-10,4.587011684403323e-07,3.5623944146790074e-05,0.0005655099749275068,0.003694677044345522,0.01402811052252179,0.03739103348005975,0.07824230617061592,0.1378655844540855,0.21419777676664567,0.30281603729508094,0.3982269893189794,0.49503514753846994
6.945945945945946e-07,1.0702570839431164e-26,5.835064986223714e-17,3.5840660721955965e-10,6.296606420344882e-07,4.536489855800905e-05,0.0006849704839697542,0.00431781275831707,0.01595949511690975,0.04165865802721972,0.08572501154934847,0.14899344103503534,0.22885497708225985,0.32042013620905024,0.4178940895123753,0.5157583242448744
7.045045045045045e-07,2.9398236092541704e-26,1.142026666531697e-16,5.501779560003004e-10,8.559696969114646e-07,5.733092176891427e-05,0.0008245274968497323,0.005019830711766597,0.01807608217679358,0.046234149234768374,0.09360456340467287,0.16053466731917532,0.24385705839974794,0.3382269465344033,0.43757295017187137,0.5362817822044668
7.144144144144144e-07,7.845829862594577e-26,2.1921695002187933e-16,8.339179029917747e-10,1.1528320302308719e-06,7.192692509869051e-05,0.0009866367140463823,0.005806992673677781,0.02038637661067402,0.051122850034351006,0.10187705703805208,0.17247268684604178,0.25917524415654464,0.35619913300289324,0.45722292607603576,0.5565669301247274
7.243243243243243e-07,2.0368511247171015e-25,4.1303809957853055e-16,1.2487256268074936e-09,1.5388635859428679e-06,8.961119575143749e-05,0.0011739209307631098,0.006685653634451115,0.02289849494335267,0.05632904829549299,0.11053714316924301,0.1847896633883302,0.2747802426600187,0.37429991980858746,0.4768050495470571,0.576577783845884
7.342342342342342e-07,5.149590616739866e-25,7.64461976922554e-16,1.8482149046351672e-09,2.0366760687431875e-06,0.00011089921802545206,0.0013891667213125026,0.007662229110773846,0.025620116467895748,0.061855964444916145,0.11957809541705072,0.19746664763567112,0.29064243225381636,0.3924932581274949,0.49628213199994015,0.5962809736855186
7.441441441441442e-07,1.2692382015091528e-24,1.3908662399132444e-15,2.705116627274703e-09,2.673524323089591e-06,0.00013636736792666275,0.0016353196925091456,0.008743161812112526,0.028558438744347145,0.06770574774970947,0.12899188465951333,0.21048372270063365,0.30673203499830365,0.41074397412020147,0.5156188428956037,0.6156457314801648
7.54054054054054e-07,3.052882363359319e-24,2.4892919687518602e-15,3.917085092221909e-09,3.4820188657724216e-06,0.00016665643477510773,0.0019154783424117298,0.009934888025042618,0.03172013769024504,0.07387948073560183,0.13876925898486073,0.2238201471112558,0.32301927830517896,0.42901789808018537,0.5347817679314132,0.6346438599157563
7.63963963963964e-07,7.17282262463145e-24,4.3853985441074095e-15,5.613951596241575e-09,4.50090408712843e-06,0.00020247492450641615,0.00223288657827494,0.011243804057163312,0.03511133243151288,0.08037719115702235,0.148899828009251,0.23745449414023362,0.3394745441858445,0.44728197553599175,0.5537394483042463,0.6532496865820494
7.738738738738738e-07,1.6477007587982996e-23,7.609432780109511e-15,7.96670142664435e-09,5.775901803344042e-06,0.0002446021012176266,0.0025909249634072863,0.01267623306362177,0.03873755501075827,0.08719787089633978,0.1593721504124655,0.25136478649827504,0.3560685059651771,0.4655043612264673,0.5724624028550473,0.6714400050192949
7.837837837837838e-07,3.703820091701156e-23,1.3012450975238172e-14,1.119848406188287e-08,7.360618965058284e-06,0.00029389072602922827,0.0029931007766057743,0.01423839255707947,0.04260372498413572,0.09433950114428731,0.17017382362525565,0.26552862558635254,0.3727722524784045,0.4836544969483742,0.5909231348551224,0.6891940048528391
7.936936936936937e-07,8.153816908848987e-23,2.1941706039820996e-14,1.559800071075353e-08,9.317517421410336e-06,0.0003512694554621208,0.0034430369798323568,0.015936362877046997,0.04671412887819493,0.10179908320058126,0.18129157468949708,0.27992331465723314,0.389557399910168,0.5017031743292628,0.6090961251284236,0.7064931929373559
8.036036036036036e-07,1.7593414641712293e-22,3.650186341561466e-14,2.153564764571446e-08,1.171894272021287e-05,0.0004177448651792775,0.003944460199748659,0.017776056867630938,0.05107240442484921,0.10957267423166486,0.19271135140234186,0.2945259753799721,0.4063961915533704,0.5196225836091859,0.626957813125032,0.7233213072601403
8.135135135135135e-07,3.723397752736737e-22,5.993916564996687e-14,2.9482827457206046e-08,1.4648208010715812e-05,0.0004944030690310401,0.00450118783661631,0.019763190984534655,0.05568152944585623,0.11765542732986771,0.20441841294629165,0.30931365743157324,0.4232615858627908,0.5373863495259854,0.6444865674722352,0.7396642251849656
8.234234234234234e-07,7.734553680383166e-22,9.719959731436899e-14,4.003487266049587e-08,1.82007282218882e-05,0.000582410907780409,0.005117114419934381,0.02190325802326109,0.06054381521797339,0.12604163523360595,0.216397419296985,0.32426344085759845,0.44012733325686293,0.5549695553939022,0.6616626474347919,0.755509867456275
8.333333333333333e-07,1.5780813432303665e-21,1.5573044603596407e-13,5.3938056278326895e-08,2.2485198832106943e-05,0.000683016686579787,0.005796197334085305,0.02420150163141663,0.06566090411608966,0.13472477709026298,0.22863251878808633,0.33935253104846036,0.45696804218209613,0.572348756446838,0.6784681566172966,0.7708480992294656
8.432432432432433e-07,3.16446136746911e-21,2.466185347447652e-13,7.212119133792215e-08,2.7624812740439068e-05,0.0007975504451335306,0.006542442039297995,0.026662892739303366,0.07103377130386578,0.14369756767073985,0.24110743329710865,0.35455834627058247,0.47375923500039036,0.5895019834884097,0.6948869901413212,0.7856706292474723
8.531531531531531e-07,6.240386597443384e-21,3.861891444926152e-13,9.573234489655416e-08,3.375850800890553e-05,0.0009274237494252196,0.0073598869135323335,0.02929210801501407,0.07666273021942319,0.15295200847628884,0.25380554059631333,0.36985859777242863,0.4904773942919723,0.6064087378532586,0.7109047764301065,0.7999709081478619
8.630630630630631e-07,1.2109249882054076e-20,5.982288113281765e-13,1.2618121150141183e-07,4.104223858122453e-05,0.001074128998832811,0.008252587839587466,0.03209351042336683,0.08254744158701892,0.16247944021294652,0.2667099534885029,0.3852313625548453,0.5071000001870678,0.6230499786396991,0.7265088146353347,0.8137440267581788
8.72972972972973e-07,2.313440103810579e-20,9.170445610461967e-13,1.6518770518934855e-07,4.965025950684464e-05,0.0012392382473233002,0.009224602658991872,0.03507113194250563,0.08868692567397864,0.17227059614591209,0.2798035954181833,0.40065514895436705,0.5236055593499376,0.6394081031249688,0.741688008645008,0.8269866151202199
8.828828828828829e-07,4.353764022669587e-20,1.3916337923870581e-12,2.1483733758704705e-07,5.977641771798438e-05,0.0014244015421425844,0.01027997561021251,0.03822865846807777,0.09507957750501943,0.1823156558845122,0.29306927231382957,0.4161089552374731,0.5399736262406536,0.6554669212218027,0.7564327985197473,0.8396967428773775
